,,N,N,N,O,,,,,W_A_13,,W_A_140,,W_M_19,O,O,C,,,,Proj. Loc. (State):,,,,US,,,,State/Terrain,Contractor,WA,,Q3 2023 Model,
,,T,T,T,R,,,,,W_A_81,,W_A_51,,W_M_20,D,D,H,,,This Estimated is in,US Dollars Base,At an exchange rate of,,,,,,Manual,USA,Soils,"4 - Hard Clays/Sands, Glacial till",,Steep Hills,
,,1,2,3,Y,,,W_A_106,W_A_142,W_A_82,,,,W_M_21,E,E,K,,,,,,,,,,,QTY's,500,1.254302,"3 - Dense Sands/Clays, Weathered Shales",,TOTAL,
,,=,=,=,,,,,,,,,,W_M_22,=,=,=,=,,SOW ITEM DESCRIPTION,,,,,,,,NEER,UoM,,UNIT RATES,,EST. $'S,





,502-02-01.2001,502-,02-,01.2001,Engineering,,,,,,,,,W_M_47,Eng,1,1,01.2001,,Collection System: Detailed Electrical Design & Layout,,,,,US,,,1,Lot,,263042.884162,,263042.884162,
,502-02-01.2002,502-,02-,01.2002,Engineering,,,,,,,,,W_M_48,Eng,1,1,01.2002,,Collection System: Sub-surface Soil Investigation.,,,,,US,,,0,Lot,,35000,,0,
,,Header,,1.3,,,,,,,,,,W_M_49,Eng,1,1,1.3,,SUBSTATION ENGR.:,,,,,US,,,,,,,,,
,502-03-01.3001,502-,03-,01.3001,Engineering,,,,,,,,,W_M_50,Eng,1,1,01.3001,,Substation: Detailed Design & Layout,,,,,US,,,1,Ea.,,325000,,325000,
,502-03-01.3002,502-,03-,01.3002,Engineering,,,,,,,,,W_M_51,Eng,1,1,01.3002,,Substation: Sub-surface Soil Investigation:,,included above,,,US,,,0,Lot,,35000,,0,
,502-03-01.3003,502-,03-,01.3003,Engineering,,,,,,,,,W_M_52,Eng,1,1,01.3003,,Harmonic Filter Implementation: Study and Engineering,,,,,US,,,0,Lot,,84000,,0,
,502-03-01.3004,502-,03-,01.3004,Engineering,,W_A_114,,,,,,,W_M_53,Eng,1,1,01.3004,,Inductive & Reactive VAR Implementation:  Study & Engr.,,,,,US,,,1,Lot,,20000,,20000,
,,Header,,1.4,,,,,,,,,,W_M_54,Tline,1.4,1,1.4,,MAIN T-LINE ENGR.:,,,,,US,,,,,,,,,
,502-04-01.4001,502-,04-,01.4001,Engineering,,,,,,,,,W_M_55,Tline,1.4,1,01.4001,,T-Line: Engineering and Design,,,,,US,,,,,,,,,
,502-04-01.4002,502-,04-,01.4002,Engineering,,,,,,,,,W_M_56,Tline,1.4,1,01.4002,,T-Line: Review of Transmission & Tech Support,,,,,US,,,,,,,,,
,502-04-01.4003,502-,04-,01.4003,Engineering,,,,,,,,,W_M_57,Tline,1.4,1,01.4003,,"T-Line: Construction Surveying, Staking and Layout",,,,,US,,,,,,,,,
,502-04-01.4004,502-,04-,01.4004,Engineering,,,,,,,,,W_M_58,Tline,1.4,1,01.4004,,T-Line: Route Geotech. Info,,included above,,,US,,,,,,,,,
,,Header,,1.5,,,,,,,,,,W_M_59,Eng,1,1,1.5,,OTHER ENGR.:,,,,,US,,,,,,,,,
,502-05-01.5001,502-,05-,01.5001,Engineering,,,,,,,,,W_M_60,Eng,1,1,01.5001,,Power Performance Testing,,,,,US,,,0,Ea.,,60000,,0,
,502-05-01.5002,502-,05-,01.5002,Engineering,,,,,,,,,W_M_61,Eng,1,1,01.5002,,"Miscellaneous, Incidentals & Consumables",,,,,US,,,1,Lot,,50000,,50000,
,502-05-01.5003,502-,05-,01.5003,Engineering,,,,,,,,,W_M_62,Eng,1,1,01.5003,,Aerial / Satellite Imagery,,,,,US,,,1,Lot,,82500,,82500,
,502-05-01.5004,502-,05-,01.5004,Engineering,,,,,,,,,W_M_63,Eng,1,1,01.5004,,CBO,,,,,US,,,0,Lot,,250000,,0,
,502-05-01.5005,502-,05-,01.5005,Engineering,,,,,,,,,W_M_64,Eng,1,1,01.5005,,Contractor Permitting,,,,,US,,,0,Lot,,25000,,0,
,502-05-01.5006,502-,05-,01.5006,Engineering,,,,,,,,,W_M_65,Eng,1,1,01.5006,,Preliminary WTG Foundation Design,,,,,US,,,0,Lot,,53000,,0,
,502-06-01.5007,502-,06-,01.5007,Engineering,,,,,,,,,W_M_66,Eng,1,1,01.5007,,Switchyard Engineering,,,,,US,,,0,Lot,,200000,,0,
,,,,,,,,,,,,,,W_M_67,,,-,68,,-,-,-,-,-,,,,-,-,,-,,-,
,,,,,,,,,,,,,,W_M_68,,,,69,,,,,,,,,,,,,,,1679982.585338,
,,,,,,,,,,,,,,W_M_69,,,,70,,,,,,,,,,,,,,,,
,,Header,,2.0,,,,,,,,,,W_M_70,,,,2.0,,"CIVIL ""ROAD"" WORK CONSTRUCTION",,,,,,,,,,,,,,
,,,,,,,,,,,,,,W_M_71,,,-,72,,-,-,-,-,-,,,,-,-,,-,,-,
,,Header,,2.1,,,,,,,,,,W_M_72,,,,2.1,,MOB/DEMOB: FOR ROAD CONSTRUCTION,,,,,,,,,,,,,,
,312-01-02.1001,312-,01-,02.1001,Civil Roads,,,,,,,,,W_M_73,Roads,2,2,02.1001,,MOB/DEMOB: FOR ROAD CONSTRUCTION,,,,,C,,,1,Lot,,3296437.538573,,3296437.538573,
,,Header,,2.2,,,,,,,,,,W_M_74,,,,2.2,,NEW ROAD - DESIGN / ENGR.,,,,,C,,,,,,,,,
,312-01-02.2001,312-,01-,02.2001,Civil Roads,,,,,,,,,W_M_75,Roads,2,2,02.2001,,Contractor's Road Design & Enginerring,,,,,C,,,1,Lot,,868473.822199,,868473.822199,
,312-01-02.2002,312-,01-,02.2002,Civil Roads,,,,,,,,,W_M_76,Roads,2,2,02.2002,,Contractor Final Road - As Builts,,,,,C,,,1,Lot,,49041.12959,,49041.12959,
,,Header,,2.3,,,,W_A_61,,,,,,W_M_77,Roads,2,2,2.3,,NEW ROAD - CONSTRUCTION,,,WTG Spacing,,C,,,2118,Yes,16,40,,,
,,,,,,,W_A_61,,,,,,,W_M_78,,,,79,,Service Roads,,Shoulders,Road Type,,C,,,,,Base+Cap,,,,
,312-01-02.3101,312-,01-,02.3101,Civil Roads,,,,,,,,,W_M_79,Roads,2,2,02.3101,,Service Rds - BUILD NEW,,,,,C,,,3592128,Sf.,4.5,1.536653677365,,5519856.700768,
,,,,,,,,,,,,,,W_M_80,,,,81,,Historical Gravel inches,,,,,C,,,,,,,,,
,312-01-02.3201,312-,01-,02.3201,Civil Roads,,,,,,,,,W_M_81,Roads,2,2,02.3201,,Service Rds - RESTORE/RECLAIM,,16 Ft,Final Width (ft.),,C,,,3592128,Sf.,,0.162119,,582353.767778,
,,,,,,,,,,,,,,W_M_82,,,,83,,Access Roads,,Default Width,Road Type,,C,,,,,Base+Cap,,,,
,312-01-02.3301,312-,01-,02.3301,Civil Roads,,,,,,,,,W_M_83,Access,2,2,02.3301,,Access Rds - BUILD NEW,,24 Ft,Cross Sect 1,,C,,,0,Sf.,6,1.726752,,0,
,,,,,,,,,,,,,,W_M_84,,,,85,,Historical Gravel inches,Historical Gravel inches,,,,C,,,,,,,,,
,312-01-02.3401,312-,01-,02.3401,Civil Roads,,,,,,,,,W_M_85,Access,2,2,02.3401,,Access Rds - RESTORE/RECLAIM,,,,,C,,,320770,Sf.,,0.324239,,104006.103396,
,312-01-02.3501,312-,01-,02.3501,Civil Roads,,,,,,,,,W_M_86,Access,2,2,02.3501,,Access Rds - UPGRADE,,24 Ft,,,C,,,0,Lf.,,10.699883,,0,
,312-01-02.3601,312-,01-,02.3601,Civil Roads,,,,,,,,,W_M_87,Roads,2,2,02.3601,,"Roads - MAINTAIN (Gen. Rd Upkeep, Cleanup & Repair.)",,,,,C,,,7.186572,Mo.,,133748.535246,,961193.470357,
,,Header,,2.4,,,,,W_A_84,,,,,W_M_88,Roads,2,2,2.4,,NEW ROAD - MATERIAL & ADDERS,,,,Geo Fabric Req'd?,C,,,,,No,,,,
,312-01-02.4001,312-,01-,02.4001,Civil Roads,,,,,,,,,W_M_89,SoilsR,2,2,02.4001,,Geo-Textile Fabric,,,,% of New Road Needing Fabric:,C,,,0,Sy.,0,2.674971,,0,
,312-01-02.4002,312-,01-,02.4002,Civil Roads,,W_A_62,,,,,,,W_M_90,SoilsR,2,2,02.4002,,Soil Stabilization of Road Subgrade,,,,% of New Rd. Needing Stabilization:,C,,,399125.333333,Sy.,1,10.699883,,4270594.297039,
,,,,,,,,,,,,,,W_M_91,SoilsR,2,2,92,,,,,,% of Cement Ratio,C,,,,Cement Ratio,0.060,,,,
,312-01-02.4004,312-,01-,02.4004,Civil Roads,,,,W_A_85,,,,,W_M_92,Blast,2,2,02.4004,,Road Blasting,,,,% of New Road to be Blasted in:,C,,,0,Cy.,0,17.833138,,0,
,,,,,,,,,,,,,,W_M_93,Blast,2,2,94,,,,,,Avg Depth of Blasting,C,,,2,Ft Avg Deep,,,,,
,312-01-02.4006,312-,01-,02.4006,Civil Roads,,,,,,,,,W_M_94,Earth,2,2,02.4006,,Road Testing,,,,Compaction Testing Req'd?,C,,,0,Ea.,No,936.239747,,0,
,312-01-02.4007,312-,01-,02.4007,Civil Roads,,,,,,,,,W_M_95,Earth,2,2,02.4007,,"Road Cut, Fill, Grading.",,,,% of New Road needing Cut / Fill: ,C,,,374180,Cy.,0.25,8.75445,,3275739.943752,
,,,,,,,,,,,,,,W_M_96,SoilsR,2,2,97,,,,,,Avg Depth of Cut / Fill:,C,,,4.5,Ft Avg Deep,,,,,
,,Header,,2.5,,,,,W_A_64,,,,,W_M_97,OffsiteRoads,2.5,2,2.5,,PUBLIC ROAD DETAILS,,,,,C,,,Dist to Gravel Pit:,,10,Miles,,,
,312-01-02.5001,312-,01-,02.5001,Public Roads,,,,,,,,,W_M_98,OffsiteRoads,2.5,2,02.5001,,Public roads – maintenance/cleanup,,,,,C,,,7.186572,Mo.,,17833.138033,,128159.129381,
,312-01-02.5002,312-,01-,02.5002,Public Roads,,,,,,,,,W_M_99,OffsiteRoads,2.5,2,02.5002,,Public Roads Repairs - Asphalt:,,,Road Width (ft): ,24,C,,,6346,Cy.,Minor,213.997656,,1358029.127476,
,312-01-02.5003,312-,01-,02.5003,Public Roads,,,,,,,,,W_M_100,OffsiteRoads,2.5,2,02.5003,,Public Roads Repairs - Chip Seal:,,,Road Width (ft): ,24,C,,,0,Sf.,Minor,0.356663,,0,
