,,W_A_66,,Home Runs from (End or One Third In),,,End,,,,,,,,,,
,,W_A_67,,"Collection Trench btwn WTGs, Ft (Avg per WTG)",,,2469,,,,,,,,,,
,,W_A_68,,"Collection Trench HR, Ft (Avg per HR)",,,20961,,,,,,,,,,
,W_M_447,W_A_69,,Engineered Fill for Electrical Trenching,,,No,,,,,,,,,,
,,W_A_70,,Substation LV Circuits (LV Breakers),,,3,,,,,,,,,,
,,W_A_71,,Collection Home Runs,,,14,,,,,,,,,,
,W_M_358,W_A_72,,Cable Cross Bonding Required (on homeruns),,,No,,,,,,,,,,
,W_M_373,W_A_73,,Overhead Collection (miles),,,0,,,,,,,,,,
,W_M_374,W_A_74,,Overhead Collection (number of Circuits),,,0,,,,,,,,,,
,,W_A_75,,Other,,,,,,,,,,,,,
,W_M_870,W_A_76,Need,O & M Building ,,,Bldg B - 3150 SF,,,,,,,,,,
,,W_A_404,,Permanent Met Tower Type,,,New Monopole Tower - Hub Height,,,,,,,,,,
,W_M_865,W_A_405,Need,Permanent Met Tower Quantity,,,1,,,,,,,,,,
,W_M_382,W_A_406,,Remote Site?,,,Yes,,,,,,,,,,
,,W_A_77,,SOILS:,,,,,,,,,,,,,
,,W_A_78,,Seismic Zone,,,Zone 2B,,,,,,,,,,
,,W_A_79,,"Wind Speed, Design MPH",,,90,,,,,,,,,,
,,W_A_80,,"Seismic Zone & Wind Speed ""Check = ""Ok""""",,,Ok,,,,,,,,,,
,,W_A_81,Need,Soil Class: Type of Soil Surface (4 to 6 Ft),,,"4 - Hard Clays/Sands, Glacial till",,,,,,,,,,
,,W_A_82,Need,Soil Class: Type of Soil Sub Surface ( Below 6 Ft),,,"3 - Dense Sands/Clays, Weathered Shales",,,,,,,,,,
,,W_A_83,,Chlorides & Sulfates,,,1 - 7K ppm,,,,,,,,,,
,,W_A_84,,Geo-Tech Fabric for Roads (4 to 6 Ft),,,No,,,,,,,,,,
,,W_A_85,,Road Blasting (4 to 6 Ft),,,No,,,,,,,,,,
,,W_A_86,,"Foundations Size ""Primary"" (Below 6 Ft)",,,,,,,,,,,,,
,,W_A_87,,Minimum Allowable Bearing Capacity (PSF),,,3500,,,,,,,,,,
,,W_A_88,"Distance from top of grade to ground water (Ft.), Dominant",Distance from top of grade to ground water (Ft.),,,10,,,,,,,,,,
,,W_A_89,,Controlling Load for Foundation Diameter,,,No_Gapping,,,,,,,,,,
,,W_A_90,,Foundation Base Shape,,,Circle,,,,,,,,,,
,,W_A_91,,"Foundations Size ""Secondary"" (Below 6 Ft)",,,,,,,,,,,,,
,,W_A_92,,Minimun Allowable Bearing Capacity (PSF),,,3500,,,,,,,,,,
,,W_A_93,"Distance from top of grade to ground water (Ft.), Secondary",Distance from top of grade to ground water (Ft.),,,10,,,,,,,,,,
,,W_A_94,,Controlling Load for Foundation Diameter,,,No_Gapping,,,,,,,,,,
,,W_A_95,,Foundation Base Shape,,,Circle,,,,,,,,,,
,,W_A_96,,Fnd. Backfill: Improve/Compaction,,,No,,,,,,,,,,
,,W_A_97,,Blasting Required For Foundations,,,Yes,,,,,,,,,,
,,W_A_98,,Piles Under WTG Foundations,,,None,,,,,,,,,,
,,W_A_99,,Soil Hardness (4 to 6 Ft),,,High,,,,,,,,,,
,,W_A_100,,Soil Resistivity (4 to 6 FT),,,Poor,,,,,,,,,,
,,W_A_101,,Soil Thermo Properities (4 to 6 Ft),,,Vry Good,,,,,,,,,,
,,W_A_102,,Thermal Resistivity (oC-cm/W),,,100,,,,,,,,,,
,,W_A_103,,Anticipated Maximum MW per HR For Information,,,41,,,,,,,,,,
,,W_A_104,,Recommended HR Cable Size @ 25MW,,,750,,,,,,,,,,
,,W_A_105,,Electrical Interconnection Requirements for GenTie Limited to (1) Circuit,,,,,,,,,,,,,
,,W_A_106,Need,Wind Farm Substation High Side Voltage Kv,,,500,,,,,,,,,,
,,W_A_107,,Interconnect Voltage Kv,,Kv,500,,,,,,,,,,
,W_M_500,W_A_108,,Substation Configuration,,,Standard,,,,,,,,,,
,W_M_502,W_A_109,,Number Of Transformers,,,2,,,,,,,,,,
,W_M_499,W_A_110,P50 assumption for all wind projects: Transformer MVA limited to 280MVA or less,Transformer Size Mva,,Mva,170,,,,,,,,,,
,W_M_527,W_A_111,,Number of High Voltage Breakers,,Ea.,2,,,,,,,,,,
