
,,,B_A_7,ASSUMP_UID_COLUMNS,,,,,,B_M_1,,,,,,,,,,,,,,Project Name:,,Red Pricing Project Name,,,,,,,BESSPower OMNI,,,,,,,BESSPower,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,
,,,B_A_66,,,,,B_A_15,,B_M_12,,,,,,,,,,,,,,,,0,Billed Lab. Rate,211.410433,BESS Type:,,Utility,,0,Billed Lab. Rate,211.410433,BESS Type:,,Utility,,0,Billed Lab. Rate,174.825537,BESS Type:,,Utility,,0,Billed Lab. Rate,170.100939,BESS Type:,,Utility,,0,Billed Lab. Rate,170.100939,BESS Type:,,Utility,,0,Billed Lab. Rate,170.100939,BESS Type:,,Utility,,0,Billed Lab. Rate,170.100939,BESS Type:,,Utility,
,,,B_A_65,,B_A_114,,,B_A_99,,B_M_13,,,,,,,,,,,,,,,,POI,Burdened Lab. Rate,75.015334,Interconnect Location/Type:,,Greenfield,,POI,Burdened Lab. Rate,75.015334,Interconnect Location/Type:,,Greenfield,,POI,Burdened Lab. Rate,50.518627,Interconnect Location/Type:,,Wind/Solar Collector Sub,,Self Supply,Burdened Lab. Rate,47.912014,Interconnect Location/Type:,,Wind/Solar Collector Sub,,Self Supply,Burdened Lab. Rate,47.912014,Interconnect Location/Type:,,Wind/Solar Collector Sub,,Self Supply,Burdened Lab. Rate,47.912014,Interconnect Location/Type:,,Wind/Solar Collector Sub,,Self Supply,Burdened Lab. Rate,47.912014,Interconnect Location/Type:,,Wind/Solar Collector Sub,
,,,,,B_A_63,,,B_A_34,,B_M_14,S,S,L,T,,,,,,,,,,,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2023,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2023,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2027,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2029,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2027,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2029,,Rack kWh,Blackstart?,No,Battery Purchase Year:,,2029,
,,,B_A_27,,B_A_115,,,B_A_3,,B_M_15,U,U,B,E,,,,,,,,,,,,814.6,Worker Prod.,1,Estimate Date:,,01/22/24,,814.6,Worker Prod.,1,Estimate Date:,,01/22/24,,814.6,Worker Prod.,1.05,Estimate Date:,,01/18/24,,814.6,Worker Prod.,1.05,Estimate Date:,,02/06/24,,814.6,Worker Prod.,1.05,Estimate Date:,,02/06/24,,814.6,Worker Prod.,1.05,Estimate Date:,,02/06/24,,814.6,Worker Prod.,1.05,Estimate Date:,,02/06/24,
,,,,,B_A_37,,,B_A_98,,B_M_16,B,M,R,S,,,,,,,,,,,,HR length,Site,02/13/23,Ground Grid Required?,,Yes,,HR length,Site,02/13/23,Ground Grid Required?,,Yes,,HR length,Site,07/16/27,Ground Grid Required?,,Yes,,HR length,Site,10/18/28,Ground Grid Required?,,Yes,,HR length,Site,02/13/27,Ground Grid Required?,,Yes,,HR length,Site,11/25/28,Ground Grid Required?,,Yes,,HR length,Site,10/18/28,Ground Grid Required?,,Yes,
,,,B_A_85,,B_A_38,,,B_A_43,,B_M_17,J,M,,L,,,,,,,,,,,,800,Batt,06/23/23,Enclosure Type:,,Pre-Populated Cabinet,,100,Batt,06/23/23,Enclosure Type:,,Pre-Populated Cabinet,,100,Batt,11/23/27,Enclosure Type:,,Pre-Populated Cabinet,,800,Batt,05/18/29,Enclosure Type:,,Pre-Populated Cabinet,,800,Batt,07/29/27,Enclosure Type:,,Pre-Populated Cabinet,,800,Batt,06/10/29,Enclosure Type:,,Pre-Populated Cabinet,,800,Batt,05/18/29,Enclosure Type:,,Pre-Populated Cabinet,
,,,,,B_A_39,,,B_A_44,,B_M_18,E,A,C,A,,,,,,,,,,,,Contrs/Invrts,BFeed,10/31/23,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,10/31/23,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,04/01/28,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,12/16/29,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,01/11/28,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,12/24/29,# of Building Stories:,,N/A,,Contrs/Invrts,BFeed,12/16/29,# of Building Stories:,,N/A,
,,,B_A_78,,B_A_40,,,B_A_94,,B_M_19,C,R,O,,,,,,,,,,,,,4,COD,12/31/23,Interconnect Voltage (kV),,230,,4,COD,12/31/23,Interconnect Voltage (kV),,230,,4,COD,06/01/28,Interconnect Voltage (kV),,34.5,,4,COD,04/01/30,Interconnect Voltage (kV),,34.5,,3.97,COD,04/01/28,Interconnect Voltage (kV),,34.5,,3.99,COD,04/01/30,Interconnect Voltage (kV),,34.5,,4.00,COD,04/01/30,Interconnect Voltage (kV),,34.5,
,,,,,,,,B_A_96,,B_M_20,T,Y,D,,,,,,,,,,,,,Seismic Zone,Site Acres,6.603136,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,6.603136,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,4.700633,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,34.709339,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,10.942927,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,23.896227,Low Side Voltage (kV),,34.5,,Seismic Zone,Site Acres,34.676685,Low Side Voltage (kV),,34.5,
,NEER,,B_A_83,,B_A_11,,,B_A_112,,B_M_21,,,E,,,,,,,,,,,Proj. Loc. (State):,,<= III,State,CA,Site Craft Labor Basis:,,Union,,<= III,State,CA,Site Craft Labor Basis:,,Union,,<= III,State,CO,Site Craft Labor Basis:,,Union,,<= III,State,AZ,Site Craft Labor Basis:,,Davis-Bacon,,<= III,State,AZ,Site Craft Labor Basis:,,Davis-Bacon,,<= III,State,AZ,Site Craft Labor Basis:,,Davis-Bacon,,<= III,State,AZ,Site Craft Labor Basis:,,Davis-Bacon,
